,Unnamed: 0,User,Project,Task_cat,Task_Description,Start date,Start time,End date,End time,Duration
18,18,UI36,WWU,Development,Save Default Analysis to DB for Generate Default graphs and Tables,2017-09-04,13:03:00,2017-09-04,13:44:00,00:41:00
19,19,UI38,WWU,Development,Feature Design,2017-09-04,16:22:55,2017-09-04,17:11:15,00:48:20
20,20,UI38,Credious,Development,Weekly Standup,2017-09-04,20:30:51,2017-09-04,21:15:38,00:44:47
21,21,UI13,Revenify,Development,A user should only see budget data 90 days back,2017-09-04,22:23:00,2017-09-05,00:40:47,02:17:47
22,22,UI36,WWU,Development,"Create a new page for ""generate graphs and tables from defaults"" with the same UI as ""generate graphs and tables""",2017-09-05,08:20:00,2017-09-05,09:36:00,01:16:00
23,23,UI13,Revenify,Development,"Doing some tests around  the logic of a user should only see budget data 90 days back and testing transunion endpoint, meeting with x",2017-09-05,09:50:15,2017-09-05,15:06:54,05:16:39
24,24,UI38,Credious,Development,Research the Skylight gem and figure out how it can help us improve our code,2017-09-05,17:47:00,2017-09-05,19:17:20,01:30:20
25,25,UI36,WWU,Development,Weekly standup,2017-09-05,20:00:00,2017-09-05,20:10:00,00:10:00
26,26,UI38,WWU,Development,Weekly Standup,2017-09-05,20:00:23,2017-09-05,20:10:32,00:10:09
27,27,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,01:10:11,2017-09-06,01:42:26,00:32:15
28,28,UI38,Credious,Development,Feature Design,2017-09-06,06:57:54,2017-09-06,08:23:59,01:26:05
29,29,UI36,WWU,Development,Save Default Analysis to DB for Generate Default graphs and Tables,2017-09-06,07:46:01,2017-09-06,08:31:29,00:45:28
30,30,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,08:43:56,2017-09-06,10:01:06,01:17:10
31,31,UI38,WeVape,Development,"Dynamically create other options for product size. ""10 pack"" ""4 pack"" etc.",2017-09-06,10:00:54,2017-09-06,16:03:37,06:02:43
32,32,UI13,Revenify,Development,Standup meeting,2017-09-06,10:01:46,2017-09-06,10:29:49,00:28:03
33,33,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,10:30:31,2017-09-06,10:59:46,00:29:15
34,34,UI13,Revenify,Development,A user can enter their expenses manually,2017-09-06,11:00:57,2017-09-06,14:19:33,03:18:36
35,35,UI13,Revenify,Development,A user can enter income manually,2017-09-06,15:39:06,2017-09-06,17:53:59,02:14:53
36,36,UI36,WWU,Development,Change the Table format to look like as in screenshot,2017-09-06,16:55:39,2017-09-06,20:01:21,03:05:42
37,37,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby,2017-09-06,17:54:05,2017-09-06,18:27:19,00:33:14
38,38,UI38,WeVape,Development,Weekly Standup,2017-09-06,20:00:10,2017-09-06,20:16:07,00:15:57
39,39,UI36,WeVape,Development,Weekly standup,2017-09-06,20:01:36,2017-09-06,20:16:39,00:15:03
40,40,UI36,WWU,Development,Change the Table format to look like as in screenshot,2017-09-06,20:16:57,2017-09-06,23:34:25,03:17:28
41,41,UI38,Credious,Development,Weekly Standup,2017-09-06,20:30:10,2017-09-06,21:00:22,00:30:12
42,42,UI13,Revenify,Development,"Checking PRs with XXX, updating them and fixing conflicts, updating documentation",2017-09-07,08:28:18,2017-09-07,09:36:24,01:08:06
43,43,UI38,WeVape,Development,Code Deployment,2017-09-07,09:00:00,2017-09-07,12:00:00,03:00:00
44,44,UI13,Revenify,Development,Trying to hit transunion endpoint with Ruby and certificates,2017-09-07,09:36:24,2017-09-07,10:18:23,00:41:59
45,45,UI13,Revenify,Development,Fixing issue with the scope on budgets creation,2017-09-07,10:18:23,2017-09-07,10:30:29,00:12:06
46,46,UI13,Revenify,Development,"Trying to hit transunion endpoint with Ruby and certificates, fixing minor issues with the manually Incomes PR",2017-09-07,10:30:31,2017-09-07,13:00:54,02:30:23
47,47,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-07,10:32:08,2017-09-07,13:59:08,03:27:00
48,48,UI38,Credious,Development,XXX Finaance Hot Fix - Sections Index,2017-09-07,17:15:00,2017-09-07,17:45:00,00:30:00
49,49,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-07,17:33:28,2017-09-07,19:29:22,01:55:54
50,50,UI38,Credious,Development,Code Review,2017-09-07,18:40:22,2017-09-07,19:44:42,01:04:20
51,51,UI38,Credious,Development,Code Review,2017-09-07,20:04:22,2017-09-07,21:16:21,01:11:59
52,52,UI38,WeVape,Development,Server Deployment ,2017-09-07,22:15:09,2017-09-07,23:00:09,00:45:00
53,53,UI36,WeVape,DevOps,support on server downtime issue,2017-09-07,22:30:00,2017-09-07,23:00:00,00:30:00
54,54,UI36,WeVape,Development,support on server downtime issue,2017-09-07,23:00:00,2017-09-07,23:30:00,00:30:00
55,55,UI13,Revenify,Development,Working on transunion endpoint and populating db with sample users,2017-09-08,01:19:18,2017-09-08,02:16:29,00:57:11
56,56,UI13,Revenify,Development,Standup meeting and working on transunion connection,2017-09-08,09:04:29,2017-09-08,12:21:39,03:17:10
57,57,UI36,WWU,Development,Add total column to all table and graphs,2017-09-08,09:12:51,2017-09-08,10:31:57,01:19:06
58,58,UI36,WWU,Development,Add total column to all table and graphs,2017-09-08,17:43:43,2017-09-08,19:03:02,01:19:19
59,59,UI36,WWU,Development,Add total column to all table and graphs,2017-09-08,19:31:26,2017-09-08,20:01:04,00:29:38
60,60,UI36,WWU,Development,Weekly standup,2017-09-08,20:00:43,2017-09-08,20:35:24,00:34:41
61,61,UI38,Credious,Development,Weekly Standup,2017-09-08,20:35:48,2017-09-08,21:03:17,00:27:29
62,62,UI36,WWU,Development,Change the Table format to look like as in screenshot,2017-09-08,21:01:38,2017-09-08,23:35:55,02:34:17
63,63,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-09,17:56:32,2017-09-09,19:04:09,01:07:37
64,64,UI36,WWU,Development,Add total column to all table and graphs,2017-09-10,11:15:02,2017-09-10,14:24:02,03:09:00
65,65,UI38,WeVape,Development,Products that do not have a farm cannot be searched,2017-09-10,18:11:04,2017-09-10,19:19:00,01:07:56
66,66,UI13,Revenify,Development,Adding tests around transunion logic,2017-09-11,08:15:10,2017-09-11,10:01:31,01:46:21
67,67,UI13,Revenify,Development,Standup meeting,2017-09-11,10:01:33,2017-09-11,10:18:53,00:17:20
68,68,UI13,Revenify,Development,Meeting with TransUnion support,2017-09-11,10:18:54,2017-09-11,11:13:21,00:54:27
69,69,UI13,Revenify,Development,Meeting with the backend team for next steps regardindg TU,2017-09-11,11:13:23,2017-09-11,11:33:31,00:20:08
70,70,UI13,Revenify,Development,Working on TransUnion tests,2017-09-11,11:33:32,2017-09-11,12:34:19,01:00:47
71,71,UI13,Revenify,Development,Working on TransUnion tests,2017-09-11,13:54:43,2017-09-11,15:52:20,01:57:37
72,72,UI36,WWU,Development,Add total column to all table and graphs,2017-09-11,17:48:53,2017-09-11,19:01:32,01:12:39
73,73,UI38,WeVape,Development,Code Deployment,2017-09-11,18:00:24,2017-09-11,18:22:21,00:21:57
74,74,UI38,Credious,Development,Working with the FE team on integration of Includes in API's,2017-09-11,18:59:24,2017-09-11,19:59:49,01:00:25
75,75,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-11,20:26:33,2017-09-11,21:52:43,01:26:10
76,76,UI38,Credious,Development,Weekly Standup,2017-09-11,20:32:22,2017-09-11,20:50:42,00:18:20
77,77,UI38,Credious,Development,Standup with Transunion,2017-09-11,21:02:22,2017-09-11,21:59:45,00:57:23
78,78,UI13,Revenify,Development,Meeting with XXX and Working on TransUnion integration,2017-09-12,08:26:30,2017-09-12,13:46:11,05:19:41
79,79,UI38,WWU,Development,Code Review,2017-09-12,08:41:12,2017-09-12,09:21:25,00:40:13
80,80,UI36,WWU,Development,Change the graph design to look like as in the screenshots,2017-09-12,11:14:18,2017-09-12,13:04:34,01:50:16
81,81,UI13,Revenify,Development,Working on TransUnion integration,2017-09-12,16:44:21,2017-09-12,21:09:16,04:24:55
82,82,UI36,WWU,Development,When generating a report we would like to have an option to choose which measures should appear on the report,2017-09-12,18:02:03,2017-09-12,19:58:03,01:56:00
83,83,UI38,WWU,Development,Weekly Standup,2017-09-12,20:00:31,2017-09-12,20:07:31,00:07:00
84,84,UI36,WWU,Development,Weekly standup,2017-09-12,20:00:47,2017-09-12,20:09:45,00:08:58
85,85,UI38,Credious,Development,transunion feature design,2017-09-12,20:21:06,2017-09-12,20:52:05,00:30:59
86,86,UI36,WWU,Development,When generating a report we would like to have an option to choose which measures should appear on the report,2017-09-12,20:37:05,2017-09-12,22:14:46,01:37:41
87,87,UI13,Revenify,Development,Working on TransUnion test integration,2017-09-13,02:01:43,2017-09-13,02:48:19,00:46:36
88,88,UI36,WWU,Development,When generating a report we would like to have an option to choose which measures should appear on the report,2017-09-13,06:07:19,2017-09-13,07:41:19,01:34:00
89,89,UI38,WWU,Development,Code Review,2017-09-13,09:09:27,2017-09-13,09:39:56,00:30:29
90,90,UI13,Revenify,Development,"Raising PR for Transunion integration, feedback and Standup meeting",2017-09-13,09:10:11,2017-09-13,10:14:04,01:03:53
91,91,UI13,Revenify,Development,A user should receive friendly errors from Plaid,2017-09-13,10:14:04,2017-09-13,13:06:57,02:52:53
92,92,UI13,Revenify,Development,Friendly errors from plaid and TransUnion,2017-09-13,13:33:50,2017-09-13,16:56:43,03:22:53
93,93,UI36,WWU,DevOps,deployment using EB,2017-09-13,14:20:32,2017-09-13,15:42:28,01:21:56
94,94,UI36,WWU,DevOps,deployment using EB,2017-09-13,15:52:54,2017-09-13,16:47:18,00:54:24
95,95,UI36,WWU,DevOps,deployment using EB,2017-09-13,17:15:58,2017-09-13,18:45:20,01:29:22
96,96,UI38,WeVape,Development,Change the product list in the Admin panel,2017-09-13,18:05:02,2017-09-13,19:35:05,01:30:03
97,97,UI38,Credious,Development,Weekly Standup,2017-09-13,20:30:42,2017-09-13,20:44:02,00:13:20
98,98,UI36,WWU,DevOps,deployment using EB,2017-09-13,20:57:17,2017-09-14,00:38:02,03:40:45
99,99,UI13,Revenify,Development,"Adding TransUnion users with invalid data, testing different scenarios",2017-09-14,00:04:20,2017-09-14,02:48:44,02:44:24
100,100,UI13,Revenify,Development,Handling timeouts for external services,2017-09-14,09:33:37,2017-09-14,13:37:12,04:03:35
101,101,UI36,WeVape,Development,The app crashes for guest user logout when running multiple tabs,2017-09-14,10:11:30,2017-09-14,12:14:03,02:02:33
102,102,UI36,WeVape,Development,Sliders should easier to click,2017-09-14,12:39:54,2017-09-14,13:53:38,01:13:44
103,103,UI13,Revenify,Development,Handling timeouts for external services,2017-09-14,14:33:22,2017-09-14,15:31:56,00:58:34
104,104,UI36,WWU,DevOps,Devops discussion,2017-09-14,15:02:53,2017-09-14,15:44:53,00:42:00
105,105,UI13,Revenify,Development,Encrypt sensitive information in the database,2017-09-14,15:31:56,2017-09-14,18:21:14,02:49:18
106,106,UI36,WWU,DevOps,deployment using EB,2017-09-14,16:30:55,2017-09-14,17:15:32,00:44:37
107,107,UI38,WeVape,Development,hide sku and show package designation,2017-09-14,17:35:02,2017-09-14,19:31:22,01:56:20
108,108,UI36,WWU,DevOps,deployment using EB,2017-09-14,20:17:35,2017-09-14,20:29:32,00:11:57
109,109,UI38,Credious,Development,Feature Design,2017-09-14,22:30:05,2017-09-14,22:55:06,00:25:01
110,110,UI38,Credious,Development,Code Review,2017-09-14,23:23:09,2017-09-15,00:08:57,00:45:48
111,111,UI38,WeVape,Development,change color of cart icon when items in cart > 0,2017-09-15,07:06:28,2017-09-15,08:08:11,01:01:43
112,112,UI36,WWU,Development,sidekiq excel file upload bugfix,2017-09-15,08:32:00,2017-09-15,08:53:00,00:21:00
113,113,UI13,Revenify,Development,Encrypt sensitive information in the database and standup meeting,2017-09-15,09:04:20,2017-09-15,10:14:17,01:09:57
114,114,UI13,Revenify,Development,Improve encryption of sensitive information in the database,2017-09-15,10:14:18,2017-09-15,15:36:50,05:22:32
115,115,UI38,WeVape,Development,Visual Representation for Products,2017-09-15,10:30:28,2017-09-15,13:00:28,02:30:00
116,116,UI36,WWU,DevOps,deployment using EB,2017-09-15,10:47:23,2017-09-15,12:15:12,01:27:49
117,117,UI36,WWU,DevOps,deployment using EB,2017-09-15,13:02:43,2017-09-15,14:57:27,01:54:44
118,118,UI13,Revenify,Development,Test and improve encryption of sensitive information in the database,2017-09-15,18:41:33,2017-09-15,21:17:31,02:35:58
119,119,UI38,WWU,Development,Weekly Standup,2017-09-15,20:00:39,2017-09-15,20:11:13,00:10:34
120,120,UI36,WWU,Development,Weekly standup,2017-09-15,20:00:53,2017-09-15,20:10:53,00:10:00
121,121,UI38,Credious,Development,Weekly Standup,2017-09-15,20:29:40,2017-09-15,20:44:24,00:14:44
122,122,UI36,WWU,Development,excel task discussion,2017-09-15,21:00:02,2017-09-15,21:56:02,00:56:00
123,123,UI36,WWU,DevOps,deployment using EB redis and sidekiq setup,2017-09-15,22:23:41,2017-09-15,23:43:38,01:19:57
124,124,UI36,WWU,Development,sidekiq excel file upload bugfix,2017-09-15,23:43:50,2017-09-16,00:33:07,00:49:17
125,125,UI38,WeVape,Development,farm not showing up below a product ,2017-09-16,17:37:46,2017-09-16,18:07:46,00:30:00
126,126,UI36,WWU,DevOps,deployment using EB,2017-09-17,06:30:19,2017-09-17,07:58:45,01:28:26
127,127,UI38,WeVape,Development,Open XXXginal/bigger size image for lightbox pop up.,2017-09-17,10:09:38,2017-09-17,11:39:38,01:30:00
128,128,UI38,WeVape,Development,Increase the size of the close button in the Lightbox. Close the pop up on clicking of light grey area,2017-09-17,11:39:38,2017-09-17,12:39:39,01:00:01
129,129,UI38,WeVape,Development,Review Page crashing,2017-09-17,13:00:00,2017-09-17,14:07:43,01:07:43
130,130,UI36,WWU,DevOps,sidekiq issue,2017-09-17,18:40:48,2017-09-17,19:25:15,00:44:27
131,131,UI36,WWU,DevOps,"server upgrade, sidekiq memory issue fix",2017-09-17,19:25:17,2017-09-17,21:41:49,02:16:32
132,132,UI38,WeVape,Development,User should move to order summary page immediately upon clicking checkout button,2017-09-17,19:27:26,2017-09-17,21:57:05,02:29:39
133,133,UI38,WWU,Development,Code Review ,2017-09-17,22:09:51,2017-09-17,22:42:51,00:33:00
134,134,UI38,WeVape,Development,New Session button to the right of the Rapid Reorder,2017-09-18,07:56:26,2017-09-18,09:53:57,01:57:31
135,135,UI13,Revenify,Development,Call with XXX to go over PRs,2017-09-18,08:35:42,2017-09-18,09:31:50,00:56:08
136,136,UI13,Revenify,Development,Resolving PR conflicts and Standup meeting,2017-09-18,09:31:51,2017-09-18,13:25:27,03:53:36
137,137,UI13,Revenify,Development,A user should receive friendly errors from TransUnion,2017-09-18,14:24:51,2017-09-18,16:48:17,02:23:26
138,138,UI36,WWU,Development,Line plot graph is not generating,2017-09-18,14:28:00,2017-09-18,15:22:00,00:54:00
139,139,UI13,Revenify,Development,Checking reordering code,2017-09-18,16:48:17,2017-09-18,18:02:40,01:14:23
140,140,UI38,Credious,Development,Code Review,2017-09-18,18:04:17,2017-09-18,20:37:36,02:33:19
141,141,UI36,WWU,Development,Change the table design to look like as in the screenshots,2017-09-18,18:37:00,2017-09-18,20:47:00,02:10:00
142,142,UI38,Credious,Development,Weekly Standup,2017-09-18,20:30:18,2017-09-18,21:01:40,00:31:22
143,143,UI36,WWU,Development,Change the table design to look like as in the screenshots,2017-09-18,21:07:47,2017-09-18,23:46:18,02:38:31
144,144,UI38,Credious,Development,Code Review,2017-09-18,22:04:41,2017-09-18,22:47:18,00:42:37
145,145,UI36,WWU,Development,Line plot graph is not generating,2017-09-19,05:45:31,2017-09-19,07:04:35,01:19:04
146,146,UI13,Revenify,Development,Reorder on updating a section / element or destroying a section / element,2017-09-19,08:34:21,2017-09-19,13:16:34,04:42:13
147,147,UI38,Credious,Development,Code Review,2017-09-19,11:07:00,2017-09-19,11:21:13,00:14:13
148,148,UI13,Revenify,Development,"On create action for Landing Pages, update the name of the landing page as sent in body in the API.",2017-09-19,13:56:10,2017-09-19,19:34:20,05:38:10
149,149,UI36,WWU,Development,Line plot graph is not generating,2017-09-19,17:55:46,2017-09-19,19:30:46,01:35:00
150,150,UI38,WWU,Development,Weekly Standup,2017-09-19,20:01:02,2017-09-19,20:12:48,00:11:46
151,151,UI13,Revenify,Development,Reorder on updating a section / element or destroying a section / element,2017-09-19,23:41:00,2017-09-20,01:32:40,01:51:40
152,152,UI38,Credious,Development,Code Review,2017-09-20,10:08:26,2017-09-20,10:26:34,00:18:08
153,153,UI36,WWU,Development,Line plot graph is not generating,2017-09-20,14:22:57,2017-09-20,17:30:57,03:08:00
154,154,UI13,Revenify,Development,"Fixing: Reorder on updating/destroying a section, adding tests scenarios",2017-09-20,14:32:04,2017-09-20,17:39:08,03:07:04
155,155,UI36,WWU,Development,Total percentage symbol is not displaying in the graph,2017-09-20,17:33:52,2017-09-20,19:32:52,01:59:00
156,156,UI36,WeVape,Development,Weekly standup,2017-09-20,20:00:25,2017-09-20,20:14:25,00:14:00
157,157,UI38,WeVape,Development,Weekly Standup,2017-09-20,20:01:29,2017-09-20,20:14:00,00:12:31
158,158,UI13,Revenify,Development,Improving tests around the reordering logic and handling validations when the order is invalid,2017-09-20,21:18:03,2017-09-21,00:10:39,02:52:36
159,159,UI13,Revenify,Development,Preparing today's lesson,2017-09-21,01:58:55,2017-09-21,03:43:06,01:44:11
160,160,UI13,Revenify,Development,Preparing today's lesson,2017-09-21,08:53:36,2017-09-21,10:06:09,01:12:33
161,161,UI13,Revenify,Development,Lesson meeting,2017-09-21,10:06:09,2017-09-21,11:04:33,00:58:24
162,162,UI13,Revenify,Development,"Fixing issue with Leads request from postman, understanding leads creation",2017-09-21,11:04:33,2017-09-21,12:36:59,01:32:26
163,163,UI36,WWU,Development,Total percentage is not calculating properly,2017-09-21,11:19:05,2017-09-21,12:14:05,00:55:00
164,164,UI13,Revenify,Development,"Meeting with XXX, going over Reoder PR",2017-09-21,12:37:00,2017-09-21,13:17:32,00:40:32
165,165,UI13,Revenify,Development,Feedback on reorder logic,2017-09-21,13:40:09,2017-09-21,14:30:36,00:50:27
166,166,UI36,WeVape,Development,Make fonts and icons in the menu 25% larger,2017-09-21,13:47:07,2017-09-21,14:16:07,00:29:00
167,167,UI38,WeVape,Development,Code deployment,2017-09-21,14:16:12,2017-09-21,16:59:47,02:43:35
168,168,UI36,WeVape,Development,Much larger font on login page,2017-09-21,15:55:27,2017-09-21,16:26:59,00:31:32
169,169,UI36,WeVape,Development,Larger font on search pages,2017-09-21,16:27:43,2017-09-21,17:29:02,01:01:19
170,170,UI13,Revenify,Development,Preparing leads creation for TransUnion Users,2017-09-21,17:18:25,2017-09-21,18:16:04,00:57:39
171,171,UI38,WWU,Development,Huji Demo,2017-09-21,18:32:02,2017-09-21,20:35:02,02:03:00
172,172,UI36,Revenify,Development,Rspec discussion,2017-09-21,20:35:08,2017-09-21,21:20:08,00:45:00
173,173,UI38,WWU,Development,Huji Demo,2017-09-21,21:12:55,2017-09-21,23:04:00,01:51:05
174,174,UI36,WWU,Development,Total percentage is not calculating properly,2017-09-21,21:22:05,2017-09-21,22:28:05,01:06:00
175,175,UI38,Credious,Development,Code Review,2017-09-21,23:04:19,2017-09-21,23:50:29,00:46:10
176,176,UI13,Revenify,Development,"TransUnion demo postman requests, Standup Meeting, creating new debts endpoint, looking at an odd issue with the sections reordering",2017-09-22,08:43:02,2017-09-22,13:24:58,04:41:56
177,177,UI36,WWU,Development,Give the option for different color for chart elements & tables,2017-09-22,13:01:29,2017-09-22,17:05:35,04:04:06
178,178,UI36,WWU,DevOps,deployment and redis fix,2017-09-22,17:09:58,2017-09-22,17:57:54,00:47:56
179,179,UI38,WeVape,Development,Weekly Standup,2017-09-22,20:00:06,2017-09-22,20:27:42,00:27:36
180,180,UI36,WWU,Development,Weekly standup,2017-09-22,20:00:42,2017-09-22,20:34:57,00:34:15
181,181,UI38,Credious,Development,Weekly Standup,2017-09-22,20:30:16,2017-09-22,20:50:02,00:19:46
182,182,UI36,WWU,Development,Html Report utf - 8 issue with s3,2017-09-23,09:13:18,2017-09-23,10:18:25,01:05:07
183,183,UI36,WWU,Development,age gender crash fix and deployment,2017-09-24,08:01:18,2017-09-24,09:17:26,01:16:08
184,184,UI38,WWU,Development,Huji Demo,2017-09-24,08:09:50,2017-09-24,10:38:26,02:28:36
185,185,UI38,Credious,Development,Study authentication with SalseForce API,2017-09-24,14:17:03,2017-09-24,17:09:19,02:52:16
186,186,UI38,Credious,Development,Section Images Hot fix,2017-09-24,20:37:03,2017-09-24,21:17:12,00:40:09
187,187,UI13,Revenify,Development,TransUnion demo setting requests and stand up meeting,2017-09-25,09:04:02,2017-09-25,10:30:21,01:26:19
188,188,UI13,Revenify,Development,Meeting with XXX to go over reordering weird behaviour and working on the following task: An admin user should see the date of creation of each landing page,2017-09-25,10:30:26,2017-09-25,12:24:32,01:54:06
189,189,UI13,Revenify,Development,Plaid tokens should be sent to this end point: POST .../plaid,2017-09-25,12:43:46,2017-09-25,14:19:31,01:35:45
190,190,UI13,Revenify,Development,Prepare demonstration of Transunion,2017-09-25,14:19:31,2017-09-25,17:33:58,03:14:27
191,191,UI38,Credious,Development,Weekly Standup,2017-09-25,20:31:27,2017-09-25,21:00:12,00:28:45
192,192,UI38,Credious,Development,Code Review,2017-09-25,21:30:33,2017-09-25,22:40:53,01:10:20
193,193,UI13,Revenify,Development,A user should only see budget data 90 days back,2017-09-26,08:33:27,2017-09-26,12:24:37,03:51:10
194,194,UI38,Credious,Development,Code Review,2017-09-26,08:43:13,2017-09-26,09:07:46,00:24:33
195,195,UI36,WeVape,Development,Serve static assets from nginx not rails,2017-09-26,11:43:13,2017-09-26,12:41:11,00:57:58
196,196,UI13,Revenify,Development,A user should only see budget data 90 days back,2017-09-26,13:52:28,2017-09-26,18:21:07,04:28:39
197,197,UI36,WeVape,Development,The columns in the back end don't seem to sort at all,2017-09-26,16:02:29,2017-09-26,18:58:29,02:56:00
198,198,UI38,WWU,Development,Weekly Standup,2017-09-26,20:00:17,2017-09-26,20:26:17,00:26:00
199,199,UI36,WeVape,Development,Weekly standup,2017-09-26,20:00:30,2017-09-26,20:26:30,00:26:00
200,200,UI36,WWU,Development,Make sure that soic-economic & age can work together,2017-09-27,06:30:36,2017-09-27,07:09:50,00:39:14
201,201,UI36,WWU,Development,Add the measure title above the graph / table pair that belongs to it,2017-09-27,07:10:35,2017-09-27,08:15:57,01:05:22
202,202,UI36,WWU,Development,Tables client requests,2017-09-27,08:16:19,2017-09-27,11:32:29,03:16:10
203,203,UI13,Revenify,Development,Standup meeting and meeting with XXX to go over PRs,2017-09-27,09:11:35,2017-09-27,10:52:10,01:40:35
204,204,UI13,Revenify,Development,"Feedback from XXX on PRs, fixing tests on master after merge",2017-09-27,10:52:12,2017-09-27,13:08:33,02:16:21
205,205,UI38,WeVape,Development,Code deployment,2017-09-27,11:05:49,2017-09-27,11:25:52,00:20:03
206,206,UI36,WWU,Development,Graph client requests,2017-09-27,11:33:18,2017-09-27,13:02:36,01:29:18
207,207,UI38,Credious,Development,Map which features already have automated tests and which still require them,2017-09-27,12:07:42,2017-09-27,13:49:44,01:42:02
208,208,UI13,Revenify,Development,Send an email with a referral link to a potential client,2017-09-27,13:38:08,2017-09-27,18:37:23,04:59:15
209,209,UI36,WWU,DevOps,"Fixing server crash, rebuilding of beanstalk",2017-09-27,17:03:29,2017-09-27,18:03:57,01:00:28
210,210,UI38,Credious,Development,Code Review,2017-09-27,17:10:25,2017-09-27,18:01:45,00:51:20
211,211,UI38,WWU,Development,Code Review ,2017-09-27,18:57:40,2017-09-27,19:18:12,00:20:32
212,212,UI13,Revenify,Development,Send an email with a referral link to a potential client,2017-09-27,18:58:44,2017-09-27,19:20:29,00:21:45
213,213,UI36,WWU,Development,Make sure that soic-economic & age can work together,2017-09-27,19:01:18,2017-09-27,20:01:16,00:59:58
214,214,UI38,WeVape,Development,Weekly Standup,2017-09-27,20:00:30,2017-09-27,20:23:03,00:22:33
215,215,UI36,WeVape,Development,Weekly standup,2017-09-27,20:00:33,2017-09-27,20:22:44,00:22:11
216,216,UI38,Credious,Development,Weekly Standup,2017-09-27,20:31:22,2017-09-27,20:58:03,00:26:41
217,217,UI36,WWU,Development,Make sure that soic-economic & age can work together,2017-09-27,20:55:52,2017-09-27,22:12:14,01:16:22
218,218,UI38,Credious,Development,Code Review,2017-09-27,21:01:25,2017-09-27,22:53:02,01:51:37
219,219,UI13,Revenify,Development,Reordering when creating/cloning new sections,2017-09-27,21:01:52,2017-09-27,23:33:00,02:31:08
220,220,UI36,WWU,DevOps,deployment,2017-09-27,22:39:48,2017-09-27,23:01:01,00:21:13
221,221,UI13,Revenify,Development,Working of feedback from XXX on referral link flow and creating new transunion users,2017-09-27,23:57:44,2017-09-28,01:01:28,01:03:44
222,222,UI13,Revenify,Development,Working on Plaid demo,2017-09-28,08:36:48,2017-09-28,11:55:07,03:18:19
223,223,UI38,Credious,Development,Code Review and Design Discussion for Clone Reorder,2017-09-28,09:03:25,2017-09-28,10:25:48,01:22:23
224,224,UI36,WWU,Development,Graph client requests,2017-09-28,09:54:18,2017-09-28,11:05:53,01:11:35
225,225,UI36,WWU,DevOps,deployment,2017-09-28,11:06:25,2017-09-28,11:20:42,00:14:17
226,226,UI13,Revenify,Development,Meeting with x going over Demo,2017-09-28,12:25:41,2017-09-28,13:06:21,00:40:40
227,227,UI36,WWU,DevOps,debugging server crash,2017-09-28,13:17:11,2017-09-28,14:40:03,01:22:52
